source_id,status,n_datasets,n_rows
manual_ecat_central_africa,no_gbif_datasets,0,0
manual_oxytropis_asian_russia,no_gbif_datasets,0,0
manual_altb_virtual_herbarium,no_gbif_datasets,0,0
manual_fleroff_georef_records,no_gbif_datasets,0,0
manual_flora_russia_inaturalist,no_gbif_datasets,0,0
manual_lesser_sunda_endemics,no_gbif_datasets,0,0
manual_theobroma_occurrences,no_gbif_datasets,0,0
manual_pucv_herbarium_chile_bdj,no_gbif_datasets,0,0
manual_luebert_chile_diversity,no_gbif_datasets,0,0
manual_colombia_bioregions_bystriakova,no_gbif_datasets,0,0
